gene,channel,allele,count,distinct_alleles_observed
primary_strategy,semantic,role_hijack,99,7
primary_strategy,semantic,hypothetical_framing,7,7
primary_strategy,semantic,instruction_override,5,7
primary_strategy,semantic,persuasion,0,7
primary_strategy,semantic,payload_smuggling,5,7
primary_strategy,semantic,output_forcing,2,7
primary_strategy,semantic,multi_turn,2,7
primary_strategy,semantic,optimization,1,7
persona_archetype,semantic,none,24,10
persona_archetype,semantic,do_anything,30,10
persona_archetype,semantic,amoral_advisor,22,10
persona_archetype,semantic,evil_confidant,2,10
persona_archetype,semantic,demonic,6,10
persona_archetype,semantic,developer_mode,5,10
persona_archetype,semantic,fictional_character,14,10
persona_archetype,semantic,unrestricted_ai,9,10
persona_archetype,semantic,opposite_inverter,5,10
persona_archetype,semantic,expert_specialist,4,10
framing_type,semantic,none,78,8
framing_type,semantic,hypothetical_world,10,8
framing_type,semantic,fiction_story,3,8
framing_type,semantic,roleplay,9,8
framing_type,semantic,research_benchmark,7,8
framing_type,semantic,authority_directive,5,8
framing_type,semantic,maintenance_mode,5,8
framing_type,semantic,game,4,8
override_mechanism,semantic,none,75,5
override_mechanism,semantic,ignore_previous,24,5
override_mechanism,semantic,replace_rules,6,5
override_mechanism,semantic,policy_nullification,10,5
override_mechanism,semantic,persona_supremacy,6,5
refusal_suppression,semantic,False,52,2
refusal_suppression,semantic,True,69,2
stay_in_character,semantic,False,64,2
stay_in_character,semantic,True,57,2
confirmation_handshake,semantic,False,82,2
confirmation_handshake,semantic,True,39,2
response_format,semantic,single,75,4
response_format,semantic,dual_tagged,34,4
response_format,semantic,persona_prefixed,7,4
response_format,semantic,structured_template,5,4
input_delivery,semantic,inline,83,4
input_delivery,semantic,placeholder_slot,22,4
input_delivery,semantic,command_trigger,15,4
input_delivery,semantic,third_person_future,1,4
encoding_method,perturbation,none,117,5
encoding_method,perturbation,base64,1,5
encoding_method,perturbation,rot13,1,5
encoding_method,perturbation,leetspeak,1,5
encoding_method,perturbation,unicode_substitution,0,5
encoding_method,perturbation,translation,1,5
formatting_style,perturbation,plain,67,6
formatting_style,perturbation,markdown,7,6
formatting_style,perturbation,tagged_delimiters,41,6
formatting_style,perturbation,code_block,2,6
formatting_style,perturbation,ruleset_braces,3,6
formatting_style,perturbation,json,1,6
token_system,perturbation,False,103,2
token_system,perturbation,True,18,2
caps_emphasis,perturbation,False,66,2
caps_emphasis,perturbation,True,55,2
emoji_markers,perturbation,False,87,2
emoji_markers,perturbation,True,34,2
prefix_injection,perturbation,False,106,2
prefix_injection,perturbation,True,15,2
length_class,perturbation,short,29,3
length_class,perturbation,medium,60,3
length_class,perturbation,long,32,3
