id,family,genes_matched,genes_total,mismatched_genes
attack_001,unknown,16,16,
attack_002,unknown,16,16,
attack_003,unknown,16,16,
attack_004,unknown,16,16,
attack_005,unknown,16,16,
attack_006,unknown,16,16,
attack_007,unknown,16,16,
attack_008,unknown,16,16,
attack_009,unknown,16,16,
attack_010,unknown,16,16,
attack_011,unknown,16,16,
attack_012,unknown,16,16,
attack_013,unknown,16,16,
attack_014,unknown,16,16,
attack_015,unknown,16,16,
attack_016,unknown,16,16,
attack_017,unknown,16,16,
attack_018,unknown,16,16,
attack_019,unknown,16,16,
attack_020,unknown,16,16,
attack_021,unknown,16,16,
attack_022,unknown,16,16,
attack_023,unknown,16,16,
attack_024,unknown,16,16,
attack_025,unknown,16,16,
attack_026,unknown,16,16,
attack_027,unknown,16,16,
attack_028,unknown,16,16,
attack_029,unknown,16,16,
attack_030,unknown,16,16,
attack_031,unknown,16,16,
attack_032,unknown,16,16,
attack_033,unknown,16,16,
attack_034,unknown,16,16,
attack_035,unknown,16,16,
attack_036,Basic,16,16,
attack_037,Basic,16,16,
attack_038,Basic,16,16,
attack_039,Basic,16,16,
attack_040,Basic,16,16,
attack_041,Basic,16,16,
attack_042,Basic,16,16,
attack_043,Basic,16,16,
attack_044,Advanced,16,16,
attack_045,Advanced,16,16,
attack_046,Advanced,16,16,
attack_047,Advanced,16,16,
attack_048,Advanced,16,16,
attack_049,Advanced,16,16,
attack_050,Advanced,16,16,
attack_051,Advanced,16,16,
attack_052,Toxic,16,16,
attack_053,Toxic,16,16,
attack_054,Toxic,16,16,
attack_055,Toxic,16,16,
attack_056,Toxic,16,16,
attack_057,Toxic,16,16,
attack_058,Toxic,16,16,
attack_059,Toxic,16,16,
attack_060,Anarchy,16,16,
attack_061,Anarchy,16,16,
attack_062,Anarchy,16,16,
attack_063,Anarchy,16,16,
attack_064,Anarchy,16,16,
attack_065,Anarchy,16,16,
attack_066,Anarchy,16,16,
attack_067,Anarchy,16,16,
attack_068,Start Prompt,16,16,
attack_069,Start Prompt,16,16,
attack_070,Start Prompt,16,16,
attack_071,Start Prompt,16,16,
attack_072,Start Prompt,16,16,
attack_073,Start Prompt,16,16,
attack_074,Start Prompt,16,16,
attack_075,Opposite,16,16,
attack_076,Opposite,16,16,
attack_077,Opposite,16,16,
attack_078,Opposite,16,16,
attack_079,Opposite,16,16,
attack_080,Opposite,16,16,
attack_081,Guidelines,16,16,
attack_082,Guidelines,16,16,
attack_083,Guidelines,16,16,
attack_084,Guidelines,16,16,
attack_085,Guidelines,16,16,
attack_086,Virtualization,16,16,
attack_087,Virtualization,16,16,
attack_088,Virtualization,16,16,
attack_089,Fictional,16,16,
attack_090,unknown,16,16,
attack_091,The DAN 13.0 Prompt (Available on GPT-4),16,16,
attack_092,The DAN 12.0 Prompt,16,16,
attack_093,The DAN 10.0 Prompt,16,16,
attack_094,The DAN 9.0 Prompt,16,16,
attack_095,The DAN 8.0 Prompt,16,16,
attack_096,The DAN 7.0 Prompt,16,16,
attack_097,The DAN 6.0 Prompt,16,16,
attack_098,The DAN 6.2 Prompt,16,16,
attack_099,Evil-Bot Prompt,16,16,
attack_100,The ANTI-DAN Prompt,16,16,
attack_101,ChatGPT Developer Mode v2,16,16,
attack_102,ChatGPT Image Unlocker,16,16,
attack_103,The STAN Prompt,16,16,
attack_104,The DUDE Prompt,16,16,
attack_105,The Mongo Tom Prompt,16,16,
attack_106,AIM,16,16,
attack_107,Developer Mode,16,16,
attack_108,Agares,16,16,
attack_109,Anarchy,16,16,
attack_110,TranslatorBot (translation),16,16,
attack_111,Code Smuggling,16,16,
attack_112,Alignment Benchmark,16,16,
attack_113,Trusted Confidant (FR3D),16,16,
attack_114,Evil Confidant,16,16,
attack_115,AlphaGPT vs DeltaGPT,16,16,
attack_116,Emoji Dual Persona,16,16,
attack_117,Void Simulation,16,16,
attack_118,GCG Universal Suffix,16,16,
attack_119,Base64 Encoding,16,16,
attack_120,ROT13 Encoding,16,16,
attack_121,Leetspeak Encoding,16,16,
