id,family,source,source_url,provenance,filename,char_length
attack_001,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_001.md,2466
attack_002,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_002.md,1261
attack_003,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_003.md,2363
attack_004,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_004.md,1664
attack_005,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_005.md,903
attack_006,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_006.md,2908
attack_007,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_007.md,1090
attack_008,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_008.md,816
attack_009,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_009.md,3352
attack_010,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_010.md,2206
attack_011,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_011.md,3770
attack_012,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_012.md,3010
attack_013,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_013.md,895
attack_014,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_014.md,1399
attack_015,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_015.md,1626
attack_016,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_016.md,499
attack_017,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_017.md,468
attack_018,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_018.md,466
attack_019,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_019.md,2793
attack_020,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_020.md,1407
attack_021,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_021.md,4270
attack_022,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_022.md,767
attack_023,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_023.md,1459
attack_024,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_024.md,3288
attack_025,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_025.md,3783
attack_026,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_026.md,228
attack_027,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_027.md,4293
attack_028,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_028.md,296
attack_029,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_029.md,432
attack_030,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_030.md,953
attack_031,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_031.md,4206
attack_032,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_032.md,853
attack_033,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_033.md,711
attack_034,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_034.md,961
attack_035,unknown,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_035.md,11727
attack_036,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_036.md,878
attack_037,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_037.md,1168
attack_038,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_038.md,1457
attack_039,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_039.md,2263
attack_040,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_040.md,2049
attack_041,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_041.md,2877
attack_042,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_042.md,1892
attack_043,Basic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_043.md,1449
attack_044,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_044.md,4545
attack_045,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_045.md,3941
attack_046,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_046.md,5282
attack_047,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_047.md,5166
attack_048,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_048.md,3668
attack_049,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_049.md,4533
attack_050,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_050.md,4734
attack_051,Advanced,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_051.md,3595
attack_052,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_052.md,1730
attack_053,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_053.md,1637
attack_054,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_054.md,3335
attack_055,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_055.md,2200
attack_056,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_056.md,1240
attack_057,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_057.md,2288
attack_058,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_058.md,1644
attack_059,Toxic,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_059.md,2651
attack_060,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_060.md,1169
attack_061,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_061.md,1179
attack_062,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_062.md,1371
attack_063,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_063.md,1126
attack_064,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_064.md,1395
attack_065,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_065.md,667
attack_066,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_066.md,1485
attack_067,Anarchy,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_067.md,1433
attack_068,Start Prompt,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_068.md,4254
attack_069,Start Prompt,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_069.md,2885
attack_070,Start Prompt,verazuo/jailbreak_llms (jailbreak_prompts_2023_12_25.csv),https://github.com/verazuo/jailbreak_llms,collected,attack_070.md,1662
